Restaurant_id,Cuisine
XjeGryxde-tQZF_Ewu7NCw,korean
qAfpHbb4ww_VAGEgTL4B3A,seafood
ykXZyQBXxoOMoZfaZMnHmg,brunch
uaFHoq-a5XqxF-bsOK9_Qg,chinese
IhSVn0TaX8xXb3wcQ-fgcA,chinese
I1AqEw-O6spamgtJLNPjBg,brunch
4mzogOLOVDPBDVTO4cz9fA,vietnamese
FXhSEZfIqjMZh4hR0_8jMQ,chinese
StFf9fVnAlhwrUWan0C4Ww,thai
uVfOB37NyYEGRs5FITM-nQ,mexican
G5YZ7UcqCEYtezOxEETZjQ,american
bMhqh_k_QZJMnVstIJzxRw,vietnamese
VC1udoc_sbHdFaBr0-bMsA,indian
7FeUdDizBscZueMDaKdjGQ,chinese
Ry9w-jFALWYhazi6jjyIKw,italian
yKPRuBvD3ScCc18QrZ4Y6w,mexican
HDoJIH-qW9FqJ5WB-bKTqA,thai
BtsXojrMtfLRhhFK7rm35A,chinese
wknuaLcG01V_DV_zPcXwew,seafood
_NCh8Gxnrp33NOaDRCxRbQ,korean
fjEtp-z1094fCTzL_tMDAw,chinese
xbrQ2dHuQoFJmNxAuOky4A,pizza
PqqnNrUtU7XTKQvUM4cyqQ,mexican
FkA9aoMhWO4XKFMTuTnl4Q,mexican
csVEpHy5KJoFvM1qp5XwLQ,brunch
YKfj-CUjgb9xQ1kN_bhNLg,brunch
3Gz07E5YJjDTJPSuzsAStQ,seafood
qNMPfDIoPFGHmEHnJBnl1A,chinese
6ztuhNteBxQB334A98iP8g,seafood
zI1HxhDjrh9B8nHROel3JA,dessert
Q9F2ocrmYuGt1yn3M7MOBw,pizza
NebgteFykeM1gwiVgPcCHw,thai
wCPH0z8lI6NmRVSXagvuCg,dessert
xFp3xSQ43J-i7nmJfNBsZA,japanese
5DYXk15LwSfsuc89MeU6Pw,seafood
nFszVPUX4tj-oarjfBO0nw,thai
kCk2uqmmJBQ80iLuncNhlQ,japanese
noBCTbD1Ylf5QR7PXy-rkA,indian
TCJrcryBkI6eg2HYThoiKg,seafood
XaEFFUabnbH8ZF7ccmSAlQ,chinese
LJ0y9Kkfpo8RCVYSQIseIw,dessert
Nssb3grMQtYfJOs1HFId8A,healthy
z1R0tUFUZ7RU_kQTlzRsZg,japanese
enDIsmxSG2bQccQWgGNcbg,japanese
10tnq8x2qI7ix7VqVP0rMw,mexican
U_dwAJ7BTswGL_MpEuQCFA,seafood
KEEXuHCYhsQJ-zpJhu98bA,pizza
dVYCjeYgPZr6fI_wwKPYbg,dessert
1xJV03v3g3oP3G5oDlWuoQ,vietnamese
bgMbt6XbOaAu5VNXr5kCdQ,indian
fyC2cBsQ0FsMJmv0jSworg,pizza
jNPYmziqQjIMP-1pOgSZdw,dessert
jRZ3SuJ--vimE47dna3J7Q,japanese
vZevXSC1w27dEvXc2EHCEg,brunch
S4Euw4DYSqeU4KcteFXqHg,american
v9bbNVQUA0OJzJKAcn_r4w,brunch
IiLLntICUim7YREkIBU7lA,brunch
9T8Ootw4aqmaO42gI-wBSA,italian
Khku97458lDm26qtQZ4s-A,brunch
R1eZIyH8dOECfqUGGcANdQ,chinese
sjOp9UbbfKbohpEjQt2JRg,chinese
QZgPeT9JGGvNgSr9i4m29Q,thai
8hxvfFZH4kPp35kH5DhnIw,japanese
sR60I9PI_63noBQcGoIrbw,brunch
od-UsU-zZx29CWLhq-eong,thai
FXDMFBM-rV2s5MHzA33d2g,indian
loLFoBWWXfpFu9fOdWebHQ,chinese
Acme_IxW4FEo1zm6RuJXxQ,dessert
AOZlppihRNG8Y2N4Jid30A,pizza
0oRYwB_SLqjHptvUQwwe2w,mexican
DEHWHskp2gSAkfdylc4SNA,brunch
NkZ60oYeFozFLpgQj2P8FA,dessert
LNVu-bQA_ASIcWJlClgz-Q,brunch
9MIoDxACK6oSLwz4BVK0IQ,japanese
OPmRU32uFQ0Cx-7M3zX3bw,vietnamese
l7E6lpov_VPbhrxjWT-76Q,brunch
e5c8jGklVNKoaURcDsVxgQ,indian
XKDHsS8PevoEdFLNtt05FA,japanese
YuzOnNDfRKixNJiaVy5Baw,pizza
18OQ0pB94oC2NE4Qbf3MvQ,chinese
LTfR_0NiS7OIRCfkaAJg9w,japanese
7vl4N31vGFEJwK-qq26uGQ,healthy
nFqb7D7nng2FKunqlSd6XA,chinese
TN1dGAwvNevkzXfL0sU41A,italian
CYYLEipRFmr73Hz6XNEzoQ,pizza
anayUOcPkiAvijszwOf_Rw,healthy
od-5v2v1HdGisEDAXotqeg,japanese
rCmhjpAgxRlj1jGwjT6yGw,mexican
MqIqbChfKQa7v3AfvjeRlQ,pizza
aI39yRQqpTd1VuKqS-lwig,american
b_3yI7FXcIle71lD9Tulww,mexican
OE9bjWdWyo530-Nj3dIILw,vietnamese
8CTaeOtqr461Ah5yWcnCPw,mexican
d8USIZvTTqee35l34anRBg,pizza
iYFauSnqLxvr4HTY_cIElg,vietnamese
uXsYr76zioJq7jjOKRwQog,japanese
r_BQKeS-hYV5riDildSksQ,vietnamese
FqYgcc7Mk2XrYJ10OGgghQ,indian
TiXKrXF68JOUIj8P0Ba96w,pizza
jCJloBC-UGbJYz02OpJIvw,indian
1L0pkxU2QqOkOg2drzqtPA,american
mYQMjrtHp8vsEKKNsRz1XA,pizza
UILT56veNs63NASF3dGRKA,brunch
KyOtOluTH8c8SICpf85thg,mexican
utM-5navObsVA5sCRHobzA,brunch
CidsTvazKX0BG9mfYq6CLA,japanese
'-SM_BQ5jiqvot_kl7RKoaQ,brunch
JMXYzL0jquNEE9nIuWNzUw,pizza
oJjMYhA6z1_BVaQpSdyl8g,chinese
4eAgPj7eKonKAtk64kgUfQ,japanese
rrsjcQVLg2PkIkO_vPjOLw,american
kZ5q8Uwxt3MpLcvxEdPeFg,thai
z6WBXksrh0FQXYCPr2nnFg,healthy
U2aUFZARLeSMf4RQIxjuTw,chinese
xymU2HPO_euz1Ss1AE9Fyw,seafood
98iFRMtrbF2tt20l-WtFEw,dessert
dsTAUtR3bRMFIKJpAJk1Jw,american
y4FCFC7kfdwxFmDl7K9lhQ,dessert
iOaIwnlMpciZMXjG3wlMSA,seafood
aTBxCoZDOnqAXPDdQmrxMg,mexican
DE0ROwygh-86i4s-WLp8wQ,brunch
itblJyiTY2h2ACidLk66oA,japanese
vTn3ww550Rnhz9naIxtjww,pizza
ve78MsETSSr4f_9yc3wmwA,mexican
wvn-FO-tY9_iWmA_OgMvEA,pizza
uKxYiV2xoO1AUGUAakAfDQ,dessert
oe8GEFE4QLFAKt87y7zcgA,chinese
BC9DVugTCxNGzLr4ZhGINw,seafood
nI1UYDCYUTt23TpGxqnLKg,chinese
NH7Ws65ZwlmOosiblfGTRw,indian
TsYrzVVtkKO4Asrk_L9stw,italian
