"id","Address","Cuisine","insertedAtTimestamp","Latitude","Longitude","Name","Number of Reviews","Open","Rating","Zip Code"
"XjeGryxde-tQZF_Ewu7NCw","408 Main St","korean","24/02/2022 22:05:14","40.85362690593198","'-73.97489940149883","Gamja Tang Tang","232","N/A","4","07024"
"qAfpHbb4ww_VAGEgTL4B3A","359 Court St","seafood","24/02/2022 16:12:02","40.6818","'-73.995857","Carroll Gardens Fish Market","39","N/A","4","11231"
"ykXZyQBXxoOMoZfaZMnHmg","4740 Broadway","brunch","24/02/2022 22:05:07","40.8649821372469","'-73.927843119049","Tryon Public House","406","N/A","4","10040"
"uaFHoq-a5XqxF-bsOK9_Qg","811 8th Ave","chinese","24/02/2022 16:40:06","40.7616286634162","'-73.98688","Real Kung Fu Little Steamed Buns Ramen","1065","N/A","3.5","10019"
"IhSVn0TaX8xXb3wcQ-fgcA","118A Eldridge St","chinese","24/02/2022 22:13:19","40.71839","'-73.9917399","Vanessa's Dumpling House","2732","N/A","4","10002"
"I1AqEw-O6spamgtJLNPjBg","5761 Broadway","brunch","24/02/2022 16:40:48","40.88373","'-73.90183","Leche Y Miel Restaurant","311","N/A","4","10463"
"4mzogOLOVDPBDVTO4cz9fA","1814 Bergenline Ave","vietnamese","24/02/2022 22:03:57","40.76397","'-74.03454","Roi Siam","155","N/A","4.5","07087"
"FXhSEZfIqjMZh4hR0_8jMQ","360 W 42nd Street","chinese","24/02/2022 22:08:37","40.7582902125633","'-73.9925113993899","China Xiang 中国湘","517","N/A","4","10036"
"StFf9fVnAlhwrUWan0C4Ww","142 Smith St","thai","24/02/2022 16:39:22","40.687","'-73.99042","Wanisa Home Kitchen","176","N/A","4.5","11201"
"uVfOB37NyYEGRs5FITM-nQ","221 Smith St","mexican","24/02/2022 22:13:22","40.68431","'-73.99197","Leyenda","275","N/A","4","11201"
"G5YZ7UcqCEYtezOxEETZjQ","372 Fulton St","american","24/02/2022 16:52:24","40.691328","'-73.987861","Gage and Tollner","66","N/A","4","11201"
"bMhqh_k_QZJMnVstIJzxRw","40-10 74th St","vietnamese","24/02/2022 22:14:02","40.74637","'-73.89161","Thái Son","513","N/A","3.5","11373"
"VC1udoc_sbHdFaBr0-bMsA","1378 1st Ave","indian","24/02/2022 22:10:38","40.76873","'-73.9549","Bombay Chowk","120","N/A","4","10021"
"7FeUdDizBscZueMDaKdjGQ","1570 2nd Ave","chinese","24/02/2022 22:01:05","40.77493","'-73.95366","Ellie's Chinese Restaurant","11","N/A","3.5","10028"
"Ry9w-jFALWYhazi6jjyIKw","190 Dean St","italian","24/02/2022 16:11:26","40.68562","'-73.98587","Rucola","515","N/A","4","11217"
"yKPRuBvD3ScCc18QrZ4Y6w","3151 Broadway","mexican","24/02/2022 22:09:53","40.81452","'-73.95966","El Porton","195","N/A","3.5","10027"
"HDoJIH-qW9FqJ5WB-bKTqA","1109 Lexington Ave","thai","24/02/2022 16:12:32","40.7738","'-73.95945","MIGHTY Bowl","125","N/A","4.5","10075"
"BtsXojrMtfLRhhFK7rm35A","1007 50th Ave","chinese","24/02/2022 16:39:36","40.742827","'-73.953575","Hupo","159","N/A","4.5","11101"
"wknuaLcG01V_DV_zPcXwew","8101 Tonnelle Ave","seafood","24/02/2022 22:04:07","40.80828","'-74.01806","Crab Du Jour","29","N/A","3.5","07047"
"_NCh8Gxnrp33NOaDRCxRbQ","8 Henry Ave","korean","24/02/2022 16:40:50","40.8461988","'-73.9996687","Dumok","40","N/A","4","07650"
"fjEtp-z1094fCTzL_tMDAw","165 E Broadway","chinese","24/02/2022 16:11:30","40.71395","'-73.98996","Cheong Fun Cart On Rutgers","2","N/A","5","10002"
"xbrQ2dHuQoFJmNxAuOky4A","31 Great Jones St","pizza","24/02/2022 16:44:32","40.72693","'-73.99319","Vic's","517","N/A","4","10012"
"PqqnNrUtU7XTKQvUM4cyqQ","65 2nd Ave","mexican","24/02/2022 22:13:22","40.7260849061034","'-73.9897361397743","Bar Verde","347","N/A","4.5","10003"
"FkA9aoMhWO4XKFMTuTnl4Q","372 Lafayette St","mexican","24/02/2022 16:12:53","40.7271874","'-73.9938924","Atla","337","N/A","3.5","10012"
"csVEpHy5KJoFvM1qp5XwLQ","163 East 33rd St","brunch","24/02/2022 16:13:08","40.7454079308793","'-73.9791478306885","Le Parisien","1006","N/A","4","10016"
"YKfj-CUjgb9xQ1kN_bhNLg","138 Division St","brunch","24/02/2022 15:58:47","40.714498871349","'-73.9915559401866","Forgtmenot","192","N/A","4","10002"
"3Gz07E5YJjDTJPSuzsAStQ","123 W 52nd St","seafood","24/02/2022 22:10:43","40.7617438","'-73.9805565","Ocean Prime","675","N/A","4.5","10019"
"qNMPfDIoPFGHmEHnJBnl1A","23 Essex St N","chinese","24/02/2022 16:52:21","40.715441","'-73.99006","Public Village","47","N/A","4.5","10002"
"6ztuhNteBxQB334A98iP8g","231 2nd Ave","seafood","24/02/2022 22:11:52","40.73263","'-73.985103","Bait & Hook","440","N/A","3.5","10003"
"zI1HxhDjrh9B8nHROel3JA","null","dessert","24/02/2022 17:31:21","40.7687759399414","'-73.9583435058594","Doughlicious Challah","3","N/A","5","10021"
"Q9F2ocrmYuGt1yn3M7MOBw","575 Henry St","pizza","24/02/2022 22:13:36","40.6818","'-74.00024","Lucali","1760","N/A","4","11231"
"NebgteFykeM1gwiVgPcCHw","3600 Broadway","thai","24/02/2022 22:10:27","40.828384","'-73.948674","The Handpulled Noodle","996","N/A","4","10031"
"wCPH0z8lI6NmRVSXagvuCg","2339 Arthur Ave","dessert","24/02/2022 16:41:02","40.8544312","'-73.8889313","Parisienne Cafe","14","N/A","4.5","10458"
"xFp3xSQ43J-i7nmJfNBsZA","43 W 24th St","japanese","24/02/2022 17:36:27","40.7433","'-73.99137","Norikoh","578","N/A","4","10010"
"5DYXk15LwSfsuc89MeU6Pw","673 Atlantic Ave","seafood","24/02/2022 16:12:00","40.683251","'-73.973347","The Simpson Restaurant & Bar","99","N/A","4","11217"
"nFszVPUX4tj-oarjfBO0nw","7 St Marks Pl","thai","24/02/2022 22:13:58","40.729507","'-73.989181","Klong","1146","N/A","4","10003"
"kCk2uqmmJBQ80iLuncNhlQ","1948 Williamsbridge Rd","japanese","24/02/2022 16:40:41","40.8532877","'-73.8534942","Kiraku Sushi","89","N/A","3.5","10461"
"noBCTbD1Ylf5QR7PXy-rkA","78 E 1st St","indian","24/02/2022 16:42:44","40.7232289034083","'-73.9879441220901","Cafe Himalaya","645","N/A","4","10009"
"TCJrcryBkI6eg2HYThoiKg","144 Union St","seafood","24/02/2022 16:12:00","40.68396014724072","'-74.00180035145536","Petite Crevette","329","N/A","4","11231"
"XaEFFUabnbH8ZF7ccmSAlQ","16 W 8th St","chinese","24/02/2022 22:12:06","40.73264","'-73.99752","South Of The Clouds","232","N/A","4","10011"
"LJ0y9Kkfpo8RCVYSQIseIw","3570 Broadway","dessert","24/02/2022 22:05:51","40.8273399113877","'-73.9494765934278","Hamilton's Cafe And Restaurant","224","N/A","3.5","10031"
"Nssb3grMQtYfJOs1HFId8A","245 W 135th St","healthy","24/02/2022 22:10:11","40.816486","'-73.945778","VeganHood","31","N/A","4.5","10030"
"z1R0tUFUZ7RU_kQTlzRsZg","4685 Manhattan College Pkwy","japanese","24/02/2022 22:04:49","40.8910472840381","'-73.8982448328066","Asian Tokyo","68","N/A","3.5","10471"
"enDIsmxSG2bQccQWgGNcbg","5-50 50th Ave","japanese","24/02/2022 22:01:28","40.74259","'-73.9546699","Takumen","248","N/A","4","11101"
"10tnq8x2qI7ix7VqVP0rMw","377 Amsterdam Ave","mexican","24/02/2022 22:02:53","40.78251","'-73.97856","Tacombi - Upper West Side","195","N/A","3.5","10024"
"U_dwAJ7BTswGL_MpEuQCFA","130 Dyckman St","seafood","24/02/2022 22:05:42","40.86249686341684","'-73.92561684186676","Puerto Plata Seafood On The Go","2","N/A","4.5","10040"
"KEEXuHCYhsQJ-zpJhu98bA","1435 Broadway","pizza","24/02/2022 22:13:37","40.7547","'-73.98696","Joe's Pizza","1412","N/A","4","10018"
"dVYCjeYgPZr6fI_wwKPYbg","1650 Saint Nicholas Ave","dessert","24/02/2022 22:05:55","40.8565946065594","'-73.9283472209039","Bienangy' Rinconcito Dulce","1","N/A","5","10040"
"1xJV03v3g3oP3G5oDlWuoQ","68 Greenpoint Ave","vietnamese","24/02/2022 22:14:02","40.72969","'-73.95827","Di An Di","240","N/A","4","11222"
"bgMbt6XbOaAu5VNXr5kCdQ","2179 3rd Ave","indian","24/02/2022 22:10:36","40.79965","'-73.93855","Polash","221","N/A","4","10035"
"fyC2cBsQ0FsMJmv0jSworg","1304 2nd Ave","pizza","24/02/2022 22:01:40","40.76652","'-73.9598","Donna Margherita","117","N/A","4.5","10065"
"jNPYmziqQjIMP-1pOgSZdw","83-13 Queens Blvd","dessert","24/02/2022 16:40:01","40.7375784","'-73.8795452","Kape't Torta","63","N/A","4.5","11373"
"jRZ3SuJ--vimE47dna3J7Q","595 River Rd","japanese","24/02/2022 16:40:13","40.81617969251635","'-73.9798458527666","Hannosuke","139","N/A","3.5","07020"
"vZevXSC1w27dEvXc2EHCEg","131A Orchard St","brunch","24/02/2022 22:13:47","40.71972","'-73.98952","Good Thanks Cafe","277","N/A","4.5","10002"
"S4Euw4DYSqeU4KcteFXqHg","333 Park Ave S","american","24/02/2022 16:11:36","40.741086","'-73.985333","Little Beet Table","588","N/A","4","10010"
"v9bbNVQUA0OJzJKAcn_r4w","292 Bedford Ave","brunch","24/02/2022 22:13:47","40.71444505961235","'-73.9615832","Hole In The Wall","75","N/A","4.5","11249"
"IiLLntICUim7YREkIBU7lA","816 Broadway","brunch","24/02/2022 22:12:39","40.7327799573693","'-73.9910601451993","Outro","356","N/A","4","10003"
"9T8Ootw4aqmaO42gI-wBSA","1606 1st Ave","italian","24/02/2022 22:00:59","40.775079766410514","'-73.95047928303218","Botte UES","31","N/A","4","10028"
"Khku97458lDm26qtQZ4s-A","1688 York Ave","brunch","24/02/2022 16:12:28","40.7776","'-73.94569","Effy's Cafe","21","N/A","4.5","10128"
"R1eZIyH8dOECfqUGGcANdQ","112 E 116th St","chinese","24/02/2022 22:09:49","40.7987632751465","'-73.9426727294922","Red Star Restaurant","20","N/A","3.5","10029"
"sjOp9UbbfKbohpEjQt2JRg","120 Mt Eden Ave","chinese","24/02/2022 22:04:26","40.84323","'-73.91249","King Dragon","8","N/A","4.5","10452"
"QZgPeT9JGGvNgSr9i4m29Q","2139 Hudson Ter","thai","24/02/2022 16:40:53","40.85492","'-73.96347","KUBA RESTAURANT","104","N/A","4","07024"
"8hxvfFZH4kPp35kH5DhnIw","165 W 72nd St","japanese","24/02/2022 16:13:00","40.7785911560059","'-73.9808349609375","Kumo Sushi","171","N/A","3","10023"
"sR60I9PI_63noBQcGoIrbw","3 Clinton St","brunch","24/02/2022 16:11:46","40.72123","'-73.98408","Pause Cafe","456","N/A","4.5","10002"
"od-UsU-zZx29CWLhq-eong","562 Grand St","thai","24/02/2022 22:13:58","40.71101","'-73.94929","Chongkho Restaurant","44","N/A","5","11211"
"FXDMFBM-rV2s5MHzA33d2g","764 9th Ave","indian","24/02/2022 16:12:38","40.76415","'-73.98806","Bombay Grill House","287","N/A","4","10019"
"loLFoBWWXfpFu9fOdWebHQ","2825 Frederick Douglass Blvd","chinese","24/02/2022 22:09:49","40.82645","'-73.93951","Yong Sheng","12","N/A","4","10039"
"Acme_IxW4FEo1zm6RuJXxQ","4961 Broadway","dessert","24/02/2022 22:05:51","40.8681","'-73.92041","Buunni Coffee - Inwood","32","N/A","4","10034"
"AOZlppihRNG8Y2N4Jid30A","1055 1st Ave","pizza","24/02/2022 22:08:58","40.7588567","'-73.9626842","Brooklyn Pizza Masters","196","N/A","4.5","10022"
"0oRYwB_SLqjHptvUQwwe2w","85 Greenwich St","mexican","24/02/2022 16:11:32","40.707905071154805","'-74.01362173954276","Tajin","250","N/A","3.5","10006"
"DEHWHskp2gSAkfdylc4SNA","2269 Adam Clayton Powell Jr Blvd","brunch","24/02/2022 22:06:48","40.8142691169743","'-73.9441050339131","Yatenga French Bistro & Bar","264","N/A","4","10030"
"NkZ60oYeFozFLpgQj2P8FA","95 Cooper St","dessert","24/02/2022 17:34:25","40.8685444","'-73.9211626","Inwood Gourmet","22","N/A","4.5","10034"
"LNVu-bQA_ASIcWJlClgz-Q","1634 Lexington Ave","brunch","24/02/2022 22:10:18","40.79057","'-73.94768","The Lexington Social","200","N/A","4","10029"
"9MIoDxACK6oSLwz4BVK0IQ","218 Newark Ave","japanese","24/02/2022 16:12:59","40.722273","'-74.0470235","Sushi By Bou - Jersey City","172","N/A","4.5","07302"
"OPmRU32uFQ0Cx-7M3zX3bw","1111 Bedford Ave","vietnamese","24/02/2022 16:12:36","40.68563468966789","'-73.9541969","Lucy's Vietnamese - Bedford Stuyvesant","5","N/A","4","11216"
"l7E6lpov_VPbhrxjWT-76Q","219 Dyckman St","brunch","24/02/2022 16:40:48","40.865788","'-73.927333","The Park View","352","N/A","3.5","10034"
"e5c8jGklVNKoaURcDsVxgQ","91 Washington St","indian","24/02/2022 16:11:58","40.737138","'-74.030709","Curry Up Now","174","N/A","4","07030"
"XKDHsS8PevoEdFLNtt05FA","42-13 Broadway","japanese","24/02/2022 22:01:31","40.758007205736","'-73.9167939666258","Shuya Cafe De Ramen","314","N/A","4.5","11103"
"YuzOnNDfRKixNJiaVy5Baw","230 Park Ave","pizza","24/02/2022 22:13:40","40.754393","'-73.976103","Roberta's Pizza","234","N/A","4","10169"
"18OQ0pB94oC2NE4Qbf3MvQ","698 Anderson Ave","chinese","24/02/2022 16:12:49","40.82833","'-73.98616","New Golden City","20","N/A","3.5","07010"
"LTfR_0NiS7OIRCfkaAJg9w","638 Park Pl","japanese","24/02/2022 15:58:09","40.6742123562615","'-73.9568891376257","Silver Rice","307","N/A","4.5","11238"
"7vl4N31vGFEJwK-qq26uGQ","1412 Broadway","healthy","24/02/2022 16:42:26","40.75362767830822","'-73.9865612","Just Salad","31","N/A","4.5","10018"
"nFqb7D7nng2FKunqlSd6XA","103 Featherbed Ln","chinese","24/02/2022 22:06:07","40.846452","'-73.918398","Empire Chinese Restaurant","8","N/A","3","10452"
